S	G2M	AC_like	MES_like	OPC_like_2	OPC_like_3	OC_like	OPC_like_1	OPC_like
KIAA0101	HMGB2	CLU	VIM	RPS4Y1	IER2	PTGDS	PDGFRA	PDGFRA
PCNA	UBE2C	AQP4	S100A10	CRABP1	CTC-250I14.6	RP11-862L9.3	APOD	ITM2C
TYMS	TOP2A	AGT	TIMP1	RPS17	FOS	MBP	PLLP	SCG3
RRM2	CDK1	SPARCL1	GAP43	RPS21	KLF6	PLP1	EPN2	SERPINE2
MLF1IP	UBE2T	VIM	CLU	RPS18	JUNB	TF	MT3	CSPG4
UBE2T	NUSAP1	GFAP	S100A6	EPB41L4A-AS1	ZFP36	BCAS1	COL9A1	CA10
MCM4	PRC1	CRYAB	TAGLN2	RPL12	BTG2	MOG	CA10	PTPRZ1
ZWINT	MAD2L1	MLC1	TMSB10	RPL34	ARC	SIRT2	RAMP1	CNTN1
CDK1	PTTG1	PLTP	MYL12A	PCP4	ATF3	TUBB4A	FABP7	NAV1
MAD2L1	PBK	LAMB2	S100A16	RPS25	NFKBIZ	GPR17	OLIG1	TNR
GMNN	CCNB1	CD99	DDIT3	RPL22L1	DLL1	CLDN11	MEG3	LRP1
HMGB2	TYMS	APOE	SPP1	SNHG8	DUSP10	APLP1	LPPR1	TSPAN7
SMC4	FAM64A	S1PR1	LMNA	RPL36	RFX4	CNP	OMG	SEMA5A
DHFR	SMC4	SPARC	TNFRSF12A	RPS14	RP11-698N11.2	CDK18	CHAD	CST3
CENPK	RRM2	GJA1	ORAOV1	ZFAS1	FOSB	MYRF	TSPAN7	GPM6A
MCM5	CENPF	EDNRB	VMP1	RPS17L	GADD45B	MAG	HSPA1B	COL9A1
FANCI	NUF2	SLC1A3	IL13RA2	RPL26	IFI16	RGR	LHFPL3	APOD
DTL	CCNB2	F3	SQSTM1	RPL36A	XIST	UGT8	CD9	SLC1A2
HELLS	ZWINT	CD44	SLC2A3	RPS29	EGR2	MPZL1	ACSF2	SPRY4
EXO1	TPX2	TNC	OCIAD2	RPL27	CYR61	NFASC	GPR17	NLGN3
DUT	RACGAP1	C4A	CD63	RPL31	DUSP1	LPPR1	NSG2	C3orf70
MCM2	CKS2	EZR	SPARCL1	RPL23	MEST	FYN	S100B	CHAD
TK1	MLF1IP	HEPN1	LGALS1	PRAME	EGFR	GNAI1	KLRC2	PSAP
RAD51AP1	BIRC5	ID3	MT2A	RPS27	EGR1	ZNF488	RP11-231C18.1	ZCCHC24
CENPM	CDC20	CCDC80	RP11-430H10.1	RPL38	LINC00910	BMPER	CST3	EPN2
PBK	BUB1B	S100A10	SCG2	NR4A1	ID2	DBNDD2	TM4SF1	DPYSL2
TOP2A	CDKN3	IFI6	S100A11	BTG2	JUN	FRMD4B	ABHD2	GPRC5B
LIG1	SPAG5	RASSF4	CAV1	RPL17	IRF1	SEMA4D	TRIO	TRIB2
FEN1	KPNA2	ATP1A2	CD59	RPS12	PRCP	FAM13C	NKAIN4	BCAN
PKMYT1	KIAA0101	ALDOC	EMP1	RPS13	CREB5	SGK1	RP11-87N24.3	ITM2B
TMSB15A	MKI67	CST3	ANXA2	RPS3	PPP1R15A	TMTC4	PDE4B	ABHD2
RRM1	NDC80	ATP1B2	MRPS6	EEF1B2	MYO10	RP11-89N17.4	CHIC2	LHFPL3
CDC45	KIF22	ZFP36	IGFBP3	RPL39	RGS2	RP11-161M6.2	XIST	CHL1
CDCA7	H2AFZ	PBXIP1	A2M	RPL35	SRSF7	SEMA5B	MGLL	GPM6B
RNASEH2A	AURKB	C4B	EMP3	RPL11	SNORD3A	ELOVL1	SAT1	MEG3
ESCO2	KIF23	PON2	MYL12B	EIF3M	KIAA1683	ACAN	ITM2A	NXPH1
HIST1H4C	PCNA	GRAMD3	CDKN1A	RPS6	MATN2	IGSF11	HSPA1A	PLEKHB1
NUSAP1	TROAP	HEY1	PAM	RPS23	BAZ2B	MAP4K5	CD82	LNX1
CCNE2	TACC3	EFEMP1	AGT	RPL29	L3HYPDH	FDFT1	DUSP6	HMP19
MCM3	SGOL1	RP11-87N24.3	ARL4C	RPS5	HSPA1A	TENC1	IFI6	EDIL3
RAD51	TUBA1B	HOPX	MTMR11	RPL10A	DNAJB14	GSN	LINC00643	GRIA2
CHEK1	CKS1B	PRCP	EIF5	RPS8	LINC00685	TMEM63A	ETV5	B3GNT7
MCM7	BUB1	PMP22	ANXA5	RPL4	HERPUD1	TNFRSF21	GRB14	HLA-C
CENPH	NCAPG	NTRK2	TNC	POLR1D	DNAJB1	EVI2A	PPAP2B	CD9
KNTC1	MELK	GLUD1	BCAT1	RPLP2	AC009060.1	LGALS3BP	TRIB2	SYT11
GGH	KNSTRN	ID4	TXNDC17	RPL27A	OLIG1	FGF12	NEU4	ATP6AP2
CDCA5	CCNA2	GADD45B	ADM	RPL6	ZFP36L1	RASGEF1B	PLEKHB1	XYLT1
DSN1	FANCI	MT2A	PGK1	ETV1	MEIS1	WASF1	RNF144A	ACSL3
FANCD2	GMNN	CDC42EP4	ENO2	RP11-87N24.3	PAX3	ARHGAP5	MPZL1	GNG7
H2AFZ	ECT2	PFKFB3	RGS17	RPL32	GFPT2	EPB41L2	GPRC5B	EPAS1
